AX,AY,AZ,_id,datetime,label
0.04150,0.99683,-0.12695,61c3a9681b359d900738ff50,2021/12/22 22:40:25:570,waschen
0.04150,0.99805,-0.12231,61c3a9691b359d900738ff51,2021/12/22 22:40:26:56,waschen
0.04883,0.99951,-0.12134,61c3a9691b359d900738ff52,2021/12/22 22:40:26:542,waschen
0.03931,0.99854,-0.12134,61c3a96a1b359d900738ff53,2021/12/22 22:40:27:30,waschen
0.04224,0.99902,-0.12598,61c3a96a1b359d900738ff54,2021/12/22 22:40:27:515,waschen
0.04785,0.99536,-0.13037,61c3a96b1b359d900738ff55,2021/12/22 22:40:28:1,waschen
0.04126,0.99707,-0.12012,61c3a96b1b359d900738ff56,2021/12/22 22:40:28:488,waschen
0.04077,0.99585,-0.12061,61c3a96b1b359d900738ff57,2021/12/22 22:40:28:975,waschen
0.04370,0.99536,-0.11768,61c3a96c1b359d900738ff58,2021/12/22 22:40:29:461,waschen
0.04419,1.00269,-0.11426,61c3a96d1b359d900738ff59,2021/12/22 22:40:29:947,waschen
0.04224,0.99829,-0.12012,61c3a96d1b359d900738ff5a,2021/12/22 22:40:30:435,waschen
0.03662,0.99780,-0.11963,61c3a96e1b359d900738ff5b,2021/12/22 22:40:30:920,waschen
0.03418,0.99927,-0.12134,61c3a96e1b359d900738ff5c,2021/12/22 22:40:31:406,waschen
0.04346,0.99536,-0.11865,61c3a96f1b359d900738ff5d,2021/12/22 22:40:31:893,waschen
0.04565,0.99951,-0.11670,61c3a96f1b359d900738ff5e,2021/12/22 22:40:32:380,waschen
0.04370,1.00586,-0.11548,61c3a9701b359d900738ff5f,2021/12/22 22:40:32:866,waschen
0.04443,1.00146,-0.11816,61c3a9701b359d900738ff60,2021/12/22 22:40:33:352,waschen
0.04224,1.00220,-0.12305,61c3a9701b359d900738ff61,2021/12/22 22:40:33:838,waschen
0.03955,1.00098,-0.13379,61c3a9711b359d900738ff62,2021/12/22 22:40:34:325,waschen
0.04688,1.00024,-0.11768,61c3a9721b359d900738ff63,2021/12/22 22:40:34:811,waschen
0.03833,0.99902,-0.11401,61c3a9721b359d900738ff64,2021/12/22 22:40:35:297,waschen
0.04565,0.99951,-0.12158,61c3a9731b359d900738ff65,2021/12/22 22:40:35:785,waschen
0.03833,0.99707,-0.12988,61c3a9731b359d900738ff66,2021/12/22 22:40:36:271,waschen
0.04614,1.00073,-0.11426,61c3a9731b359d900738ff67,2021/12/22 22:40:36:757,waschen
0.04126,1.00024,-0.12866,61c3a9741b359d900738ff68,2021/12/22 22:40:37:243,waschen
0.03784,0.99658,-0.11914,61c3a9751b359d900738ff69,2021/12/22 22:40:37:730,waschen
0.04443,0.99731,-0.12402,61c3a9751b359d900738ff6a,2021/12/22 22:40:38:216,waschen
0.04785,0.99854,-0.12769,61c3a9761b359d900738ff6b,2021/12/22 22:40:38:702,waschen
0.02417,1.00586,-0.10425,61c3a9761b359d900738ff6c,2021/12/22 22:40:39:190,waschen
0.04980,1.00073,-0.12573,61c3a9771b359d900738ff6d,2021/12/22 22:40:39:675,waschen
0.04858,0.99634,-0.12671,61c3a9771b359d900738ff6e,2021/12/22 22:40:40:161,waschen
0.04785,1.00073,-0.12549,61c3a9781b359d900738ff6f,2021/12/22 22:40:40:648,waschen
0.04834,0.99902,-0.13428,61c3a9781b359d900738ff70,2021/12/22 22:40:41:135,waschen
0.04419,0.99731,-0.12622,61c3a9791b359d900738ff71,2021/12/22 22:40:41:622,waschen
0.04565,0.99805,-0.12061,61c3a9791b359d900738ff72,2021/12/22 22:40:42:107,waschen
0.04468,0.99780,-0.11987,61c3a9791b359d900738ff73,2021/12/22 22:40:42:595,waschen
0.04370,1.00439,-0.12012,61c3a982308a7d537285bd0a,2021/12/22 22:40:50:845,waschen
0.04517,0.99780,-0.12573,61c3a983308a7d537285bd0b,2021/12/22 22:40:51:330,waschen
0.04932,0.99463,-0.13354,61c3a983308a7d537285bd0c,2021/12/22 22:40:51:816,waschen
0.05176,0.99976,-0.11523,61c3a984308a7d537285bd0d,2021/12/22 22:40:52:302,waschen
0.04419,0.99243,-0.12549,61c3a984308a7d537285bd0e,2021/12/22 22:40:52:790,waschen
0.04614,0.99780,-0.11938,61c3a985308a7d537285bd0f,2021/12/22 22:40:53:276,waschen
0.04175,0.99707,-0.11646,61c3a985308a7d537285bd10,2021/12/22 22:40:53:761,waschen
0.03735,0.99390,-0.12134,61c3a986308a7d537285bd11,2021/12/22 22:40:54:247,waschen
0.03857,1.00195,-0.11816,61c3a986308a7d537285bd12,2021/12/22 22:40:54:735,waschen
0.04370,1.00073,-0.12549,61c3a986308a7d537285bd13,2021/12/22 22:40:55:220,waschen
0.04370,1.00220,-0.10181,61c3a987308a7d537285bd14,2021/12/22 22:40:55:706,waschen
0.04834,0.99780,-0.12085,61c3a988308a7d537285bd15,2021/12/22 22:40:56:193,waschen
0.03442,0.99634,-0.09912,61c3a988308a7d537285bd16,2021/12/22 22:40:56:680,waschen
0.04443,1.00415,-0.11377,61c3a989308a7d537285bd17,2021/12/22 22:40:57:166,waschen
0.05103,1.00293,-0.11182,61c3a989308a7d537285bd18,2021/12/22 22:40:57:652,waschen
0.04004,0.99414,-0.12134,61c3a98a308a7d537285bd19,2021/12/22 22:40:58:138,waschen
0.04053,0.99707,-0.12061,61c3a98a308a7d537285bd1a,2021/12/22 22:40:58:625,waschen
0.03735,0.99731,-0.11328,61c3a98b308a7d537285bd1b,2021/12/22 22:40:59:111,waschen
0.03955,0.99780,-0.13696,61c3a98b308a7d537285bd1c,2021/12/22 22:40:59:597,waschen
0.03760,0.99634,-0.11572,61c3a98c308a7d537285bd1d,2021/12/22 22:41:0:85,waschen
0.04077,0.99585,-0.13281,61c3a98c308a7d537285bd1e,2021/12/22 22:41:0:570,waschen
0.03833,0.99512,-0.12158,61c3a98c308a7d537285bd1f,2021/12/22 22:41:1:57,waschen
0.04297,1.00000,-0.10742,61c3a98d308a7d537285bd20,2021/12/22 22:41:1:543,waschen
0.03955,1.00049,-0.13135,61c3a98e308a7d537285bd21,2021/12/22 22:41:2:30,waschen
0.04370,1.00146,-0.13452,61c3a98e308a7d537285bd22,2021/12/22 22:41:2:517,waschen
0.05225,0.99487,-0.12573,61c3a98f308a7d537285bd23,2021/12/22 22:41:3:3,waschen
0.05103,0.99731,-0.10327,61c3a98f308a7d537285bd24,2021/12/22 22:41:3:490,waschen
0.05371,1.00269,-0.12915,61c3a98f308a7d537285bd25,2021/12/22 22:41:3:976,waschen
0.03931,0.99463,-0.10791,61c3a990308a7d537285bd26,2021/12/22 22:41:4:462,waschen
0.05591,0.99561,-0.12915,61c3a991308a7d537285bd27,2021/12/22 22:41:4:948,waschen
0.05981,0.99365,-0.11035,61c3a991308a7d537285bd28,2021/12/22 22:41:5:435,waschen
0.04810,1.00195,-0.12158,61c3a992308a7d537285bd29,2021/12/22 22:41:5:920,waschen
0.04834,1.00513,-0.12720,61c3a992308a7d537285bd2a,2021/12/22 22:41:6:406,waschen
0.04883,0.99634,-0.11890,61c3a993308a7d537285bd2b,2021/12/22 22:41:6:892,waschen
0.03955,0.99780,-0.12427,61c3a993308a7d537285bd2c,2021/12/22 22:41:7:380,waschen
0.03345,0.99536,-0.11060,61c3a994308a7d537285bd2d,2021/12/22 22:41:7:865,waschen
0.04224,0.99609,-0.11987,61c3a994308a7d537285bd2e,2021/12/22 22:41:8:351,waschen
0.04004,1.00000,-0.11816,61c3a995308a7d537285bd2f,2021/12/22 22:41:8:838,waschen
0.04102,1.00024,-0.12915,61c3a995308a7d537285bd30,2021/12/22 22:41:9:325,waschen
0.03833,0.99438,-0.11426,61c3a996308a7d537285bd31,2021/12/22 22:41:9:810,waschen
0.03540,0.99927,-0.12231,61c3a996308a7d537285bd32,2021/12/22 22:41:10:297,waschen
0.04175,0.99780,-0.12671,61c3a997308a7d537285bd33,2021/12/22 22:41:10:783,waschen
0.04370,0.99780,-0.11597,61c3a997308a7d537285bd34,2021/12/22 22:41:11:270,waschen
0.04175,0.99927,-0.11621,61c3a997308a7d537285bd35,2021/12/22 22:41:11:755,waschen
0.04248,0.99463,-0.11401,61c3a998308a7d537285bd36,2021/12/22 22:41:12:241,waschen
0.03784,0.99731,-0.12183,61c3a999308a7d537285bd37,2021/12/22 22:41:12:728,waschen
0.03882,1.00146,-0.12183,61c3a999308a7d537285bd38,2021/12/22 22:41:13:215,waschen
0.04419,1.00293,-0.12231,61c3a99a308a7d537285bd39,2021/12/22 22:41:13:700,waschen
0.04102,0.99707,-0.12207,61c3a99a308a7d537285bd3a,2021/12/22 22:41:14:186,waschen
0.04321,0.99512,-0.12231,61c3a99b308a7d537285bd3b,2021/12/22 22:41:14:672,waschen
0.04443,0.99927,-0.11914,61c3a99b308a7d537285bd3c,2021/12/22 22:41:15:160,waschen
0.03857,0.99536,-0.10938,61c3a99b308a7d537285bd3d,2021/12/22 22:41:15:645,waschen
0.04541,0.99683,-0.12207,61c3a99c308a7d537285bd3e,2021/12/22 22:41:16:131,waschen
0.04297,0.99805,-0.11987,61c3a99d308a7d537285bd3f,2021/12/22 22:41:16:617,waschen
0.04346,1.00220,-0.12695,61c3a99d308a7d537285bd40,2021/12/22 22:41:17:105,waschen
0.04126,0.99658,-0.11206,61c3a99e308a7d537285bd41,2021/12/22 22:41:17:590,waschen
0.04297,0.99731,-0.12427,61c3a99e308a7d537285bd42,2021/12/22 22:41:18:76,waschen
0.04077,0.99854,-0.10840,61c3a99e308a7d537285bd43,2021/12/22 22:41:18:562,waschen
0.04321,0.99512,-0.11865,61c3a99f308a7d537285bd44,2021/12/22 22:41:19:48,waschen
0.03564,0.99976,-0.11377,61c3a9a0308a7d537285bd45,2021/12/22 22:41:19:535,waschen
0.04810,0.99341,-0.11841,61c3a9a0308a7d537285bd46,2021/12/22 22:41:20:20,waschen
0.03784,0.99707,-0.11621,61c3a9a0308a7d537285bd47,2021/12/22 22:41:20:506,waschen
0.05176,1.00269,-0.11792,61c3a9a1308a7d537285bd48,2021/12/22 22:41:20:992,waschen
0.03979,0.99390,-0.12573,61c3a9a2308a7d537285bd49,2021/12/22 22:41:21:478,waschen
0.04834,0.99072,-0.12378,61c3a9a2308a7d537285bd4a,2021/12/22 22:41:21:965,waschen
0.05298,0.99487,-0.13525,61c3a9a2308a7d537285bd4b,2021/12/22 22:41:22:451,waschen
